Word,Tag,Lemma,CorrectWord
Kari,nken,kari,Karl
Steinar,nkeo-s,Steinar,Steinar
Guðnason,nken-s,Guðnason,Guðnason
",",",",",",","
5.,ta,5.,5.
þm.,lheþsf,þm.,þm.
,,,
Ragnar,nken-s,Ragnar,Ragnar
Arnatds,nken-s,Arnatdur,Arnalds
",",",",",",","
3.,ta,3.,3.
þm.,lheþsf,þm.,þm.
,,,
Stefán,nken-s,Stefán,Stefán
Valgeirsson,nken-s,Valgeirsson,Valgeirsson
",",",",",",","
S.,e,S.,5.
þm.,lheþsf,þm.,þm.
,,,
Um,ao,um,Um
leið,nveo,leið,leið
og,c,og,og
ég,fp1en,ég,ég
birti,sfg1eþ,birta,birti
þetta,faheo,þessi,þetta
",",",",",",","
er,sfg1en,vera,er
öllum,fohfþ,allur,öllum
",",",",",",","
sem,ct,sem,sem
setu,nveþ,seta,setu
eiga,sfg3fn,eiga,eiga
á,aþ,á,á
Atþingi,nheþ-s,Atþing,Alþingi
",",",",",",","
boðið,ssg,bjóða,boðið
að,cn,að,að
koma,sng,koma,koma
nefndan,lkeosf,nefndur,nefndan
dag,nkeo,dagur,dag
til,ae,til,til
Reykjavíkur,nvee-s,Reykjavík,Reykjavíkur
",",",",",",","
og,c,og,og
verður,sfg3en,verða,verður
þá,aa,þá,þá
Alþingi,nhen-s,Alþingi,Alþingi
sett,sþghen,setja,sett
að,aþ,að,að
lokinni,lveþsf,lokinn,lokinni
guðsþjónustu,nveþ,guðsþjónusta,guðsþjónustu
í,aþ,í,í
Dómkirkjunni,nveþgs,Dómkirkjan,Dómkirkjunni
sem,ct,sem,sem
hefst,sfm3en,hefja,hefst
kl.,nveng,kl.,kl.
13.30,ta,13.30,13.30
.,.,.,.
,,,
lafur,lkensf,lafur,Ólafur
Jóhannesson,nken-s,Jóhannesson,Jóhannesson
.,.,.,.
,,,
4ð,ta,4ð,Að
svo,aa,svo,svo
mæltu,lheþsf,mæltur,mæltu
bið,sfg1en,biðja,bið
ég,fp1en,ég,ég
þingheim,nkeo,þingheimur,þingheim
að,cn,að,að
minnast,snm,minna,minnast
fósturjarðarinnar,nveeg,fósturjörð,fósturjarðarinnar
með,aþ,með,með
því,fpheþ,það,því
að,cn,að,að
rísa,sng,rísa,rísa
úr,aþ,úr,úr
sætum,nhfþ,sæti,sætum
.,.,.,.
,,,
Tngólfur,nken,tngólfur,Ingólfur
Flygenring,nken-s,Flygenring,Flygenring
var,sfg3eþ,vera,var
fæddur,sþgken,fæða,fæddur
í,aþ,í,í
Hafnarfirði,nkeþ-s,Hafnarfjörður,Hafnarfirði
24.,ta,24.,24.
júní,nkeþ,júní,júní
1896,ta,1896,1896
.,.,.,.
,,,
Faðir,nken,faðir,Faðir
hans,fpkee,hann,hans
var,sfg3eþ,vera,var
Ágúst,nken-s,Ágúst,Ágúst
Flygenring,nken-s,Flygenring,Flygenring
skipstjóri,nken,skipstjóri,skipstjóri
",",",",",",","
kaupmaður,nken,kaupmaður,kaupmaður
og,c,og,og
útgerðarmaður,nken,útgerðarmaður,útgerðarmaður
í,aþ,í,í
Hafnarfirði,nkeþ-s,Hafnarfjörður,Hafnarfirði
og,c,og,og
afþingismaður,nken,afþingismaður,alþingismaður
",",",",",",","
sonur,nken,sonur,sonur
Þórðar,nkee-s,Þórður,Þórðar
bónda,nkee,bóndi,bónda
og,c,og,og
hreppstjóra,nkee,hreppstjóri,hreppstjóra
að,aþ,að,að
Fiskilæk,nkeþ-s,Fiskilækur,Fiskilæk
í,aþ,í,í
Borgarfjarðarsýslu,nveþ-s,Borgarfjarðarsýsla,Borgarfjarðarsýslu
Sigurðssonar,nkee-s,Sigurðsson,Sigurðssonar
.,.,.,.
,,,
Hún,fpven,hún,Hún
llfir,sfg3en,llfa,lifir
mann,nkeo,maður,mann
sinn,fekeo,sinn,sinn
.,.,.,.
,,,
Hann,fpken,hann,Hann
stundaði,sfg3eþ,stunda,stundaði
nám,nheo,nám,nám
í,ao,í,í
Flensborgarskóla,nkeo-s,Flensborgarskóli,Flensborgarskóla
veturinn,nkeog,vetur,veturinn
1908--1911,ta,1908--1911,1908--1911
og,c,og,og
lauk,sfg3eþ,ljúka,lauk
þar,aa,þar,þar
gagnfræðaprófi,nheþ,gagnfræðapróf,gagnfræðaprófi
",",",",",",","
nam,sfg3eþ,nema,nam
síðan,aa,síðan,síðan
í,ao,í,í
Hólaskóla,nkeo-s,Hólaskóli,Hólaskóla
1913---1915,ta,1913---1915,1913--1915
og,c,og,og
lauk,sfg3eþ,ljúka,lauk
búfræðiprófi,nheþ,búfræðipróf,búfræðiprófi
.,.,.,.
,,,
Hann,fpken,hann,Hann
átti,sfg3eþ,eiga,átti
því,fpheþ,það,því
sætí,nheo,sætí,sæti
á,aþ,á,á
fjórum,tfhfþ,fjórir,fjórum
þingum,nhfþ,þing,þingum
.,.,.,.
,,,
Ég,fp1en,ég,Ég
vil,sfg1en,vilja,vil
biðja,sng,biðja,biðja
þingheim,nkeo,þingheimur,þingheim
að,cn,að,að
minnast,snm,minna,minnast
Ingótfs,nhee-s,Ingótf,Ingólfs
Flygenring,nkeo-s,Flygenringur,Flygenring
með,aþ,með,með
því,fpheþ,það,því
að,cn,að,að
rísa,sng,rísa,rísa
úr,aþ,úr,úr
sætum,nhfþ,sæti,sætum
.,.,.,.
,,,
Ég,fp1en,ég,Ég
vil,sfg1en,vilja,vil
bæta,sng,bæta,bæta
því,fpheþ,það,því
við,ao,við,við
",",",",",",","
að,c,að,að
ég,fp1en,ég,ég
persónulega,lhenvf,persónulegur,persónulega
tet,nhen,tet,tel
óforsvaranlegt,lhensf,óforsvaranlegur,óforsvaranlegt
að,cn,að,að
efna,sng,efna,efna
til,ae,til,til
kosninga,nvfe,kosning,kosninga
um,ao,um,um
hávetur,nkeo,hávetur,hávetur
",",",",",",","
í,aþ,í,í
svartasta,lheþve,svartur,svartasta
skammdegi,nheþ,skammdegi,skammdegi
að,cn,að,að
kalla,sng,kalla,kalla
.,.,.,.
,,,
Álþingiskosningar,nvfn,álþingiskosning,Alþingiskosningar
hafa,sfg3fn,hafa,hafa
atdrei,lhfnvf,atdrei,aldrei
átt,ssg,eiga,átt
sér,fpvfþ,sig,sér
stað,nkeo,staður,stað
á,aþ,á,á
þeim,fakeþ,sá,þeim
árstíma,nkeþ,árstími,árstíma
sem,ct,sem,sem
hér,aa,hér,hér
er,sfg3en,vera,er
um,ao,um,um
að,cn,að,að
ræða,sng,ræða,ræða
.,.,.,.
,,,
Ég,fp1en,ég,Ég
nefni,sfg1en,nefna,nefni
það,fpheo,það,það
t.d.,as,t.d.,t.d.
",",",",",",","
að,c,að,að
