Word,Tag,Lemma
Forsrh.,nken,Forsrh.
(,(,(
Geir,nken-s,Geir
Hallgrímsson,nken-s,Hallgrímsson
),),)
:,:,:
Herra,nkee,herra
forseti,nken,forseti
.,.,.
,,
Ég,fp1en,ég
sé,sfg1en,sjá
ekki,aa,ekki
ástæðu,nveo,ástæða
til,ae,til
þess,fphee,það
að,cn,að
hafa,sng,hafa
mörg,lhfosf,margur
orð,nhfo,orð
um,ao,um
þetta,faheo,þessi
frv.,aa,frv.
,,
Samráð,nhen,samráð
hafa,sfg3fn,hafa
verið,ssg,vera
höfð,sþghfn,hafa
við,ao,við
formenn,nkfo,formaður
þingflokka,nkfe,þingflokkur
um,ao,um
efni,nhfo,efni
þessa,fahee,þessi
frv.,aa,frv.
og,c,og
hafa,sfg3fn,hafa
þeir,fpkfn,hann
samþykkt,ssg,samþykkja
að,cn,að
greiða,sng,greiða
fyrir,ao,fyrir
afgreiðslu,nveo,afgreiðsla
þess,fphee,það
á,aþ,á
þingi,nheþ,þing
",",",",","
en,c,en
jafnframt,aa,jafnframt
áskilið,sfg2fn,áskila
sér,fpkfþ,sig
rétt,nkeo,réttur
til,ae,til
þess,fphee,það
að,cn,að
taka,sng,taka
afstöðu,nveo,afstaða
til,aa,til
frv.,aa,frv.
andstæða,nven,andstæða
efni,nhfo,efni
þess,fphee,það
.,.,.
,,
Í,ao,í
Ed.,nkfo-s,Ed.
fór,sfg3eþ,fara
og,c,og
svo,aa,svo
",",",",","
að,c,að
formælendur,nkfn,formælandi
Alþfl.,nkee-s,Alþfl.
létu,sfg3fþ,láta
það,fpheo,það
liggja,sng,liggja
á,aa,á
milli,ae,milli
hluta,nkfe,hlutur
.,.,.
,,
Um,ao,um
ástæðurnar,nvfog,ástæða
fyrir,aþ,fyrir
því,fpheþ,það
",",",",","
að,aþ,að
samkomudegi,nkeþ,samkomudagur
reglulegs,lheesf,reglulegur
Alþ.,nken-s,Alþ.
er,sfg3en,vera
frestað,sþghen,fresta
",",",",","
þarf,sfg3en,þurfa
ekki,aa,ekki
að,cn,að
fjölyrða,sng,fjölyrða
.,.,.
,,
Annars,aa,annars
vegar,nkee,vegur
er,sfg3en,vera
öllum,fokeþ,allur
þingheimi,nkeþ,þingheimur
kunnugt,lhensf,kunnugur
um,ao,um
",",",",","
að,c,að
aukaþing,nhen,aukaþing
hefur,sfg3en,hafa
setið,ssg,sitja
frá,aþ,frá
18.,ta,18.
júlí,nkeþ,júlí
og,c,og
til,ae,til
þess,fakee,sá
dags,nkee,dagur
",",",",","
og,c,og
hins,fakee,hinn
vegar,nkee,vegur
er,sfg3en,vera
á,ao,á
það,fpheo,það
minnst,sþmhen,minna
",",",",","
að,c,að
ný,aa,ný
ríkisstj.,nvfn,ríkisstj.
var,sfg3eþ,vera
ekki,aa,ekki
mynduð,svg2fþ,munu
