"bi","Freq"
"---- 14",1
"---- 14,11",1
"---- 14,12",1
"---- 14,14",1
"---- 14,15",1
"---- 14,16",1
"---- 14,17",1
"---- 14,23",1
"---- 14,26",1
"---- 14,28",1
"---- 14,35",1
"---- 14,38",1
"---- 14,42",1
"---- 14,44",1
"---- 14,8",1
"---- 14,9",1
"---- 18,2",1
"---- 19",1
"--- (",2
"--- )",1
"--- [",13
"--- 1880",1
"--- 23,1",1
"--- 23,2",1
"--- 23,3",1
"--- 23,4",1
"--- 23,5",1
"--- 23,6",1
"--- 23,7",1
"--- 25,1",1
"--- 25,2",1
"--- 25,3",1
"--- 25,4",1
"--- 26",1
"--- 27",1
"--- 28",1
"--- 32",1
"--- A--listi",2
"--- A-listi",1
"--- a.m.k.",1
"--- að",25
"--- aðlinur",1
"--- af",3
"--- afbrigði",10
"--- afturhald",1
"--- algerlega",2
"--- allur",2
"--- almenningur",1
"--- alveg",3
"--- Alþb.",1
"--- Alþb.-frambjóðandinn",1
"--- Alþfl.",1
"--- alþýða",1
"--- annar",2
"--- á",6
"--- Ágúst",1
"--- án",1
"--- Ásgeir",1
"--- banna",1
"--- bara",2
"--- beíða",1
"--- Bernharð",2
"--- beygur",1
"--- billegur",1
"--- blað",1
"--- breyting",1
"--- bréflega",1
"--- bæði",1
"--- duga",1
"--- eða",16
"--- ef",7
"--- eftir",2
"--- einmenningskjördæmi",1
"--- einmitt",1
"--- einn",1
"--- eins",8
"--- ekki",6
"--- en",20
"--- enginn",2
"--- Engur",1
"--- enn",1
"--- ég",69
"--- fara",1
"--- fátækt",1
"--- fram",1
"--- framsóknarmaður",1
"--- fullyrða",1
"--- fyrirgefa",1
"--- fyrst",1
"--- gera",1
"--- glímuaðferð",1
"--- grein",1
"--- grg.",1
"--- hafa",9
"--- halda",3
"--- Halldór",2
"--- hann",11
"--- Hann",2
"--- heldur",2
"--- hér",2
"--- hinn",1
"--- hleypa",1
"--- hlægilega",1
"--- hugleiðing",1
"--- hún",3
"--- hv.",1
"--- Hv.",1
"--- hvenær",1
"--- hver",6
"--- hvergi",1
"--- hvernig",4
"--- hversu",1
"--- hvort",1
"--- Hæstv.",1
"--- Höður",1
"--- í",12
"--- íhald",1
"--- ja",16
"--- jafnaðarmaður",1
"--- já",6
"--- kannske",1
"--- Karl",1
"--- kaup",1
"--- kjósa",1
"--- koma",2
"--- Kommúnismi",1
"--- kommúnisti",1
"--- Kommúnistur",1
"--- lag",1
"--- langt",1
"--- lengi",1
"--- leyfa",2
"--- líklega",1
"--- lýsa",1
"--- maður",5
"--- mala",1
"--- mál",1
"--- með",7
"--- mega",1
"--- meirihlutakosning",1
"--- milli",1
"--- milljónamæringur",1
"--- minna",1
"--- mjög",1
"--- munu",1
"--- nei",3
"--- nema",1
"--- nú",2
"--- nýr",1
"--- ofgera",1
"--- og",61
"--- olía",1
"--- ókind",1
"--- Páll",1
"--- raunverulega",1
"--- reiðubúinn",1
"--- reyna",1
"--- réttlætismál",1
"--- sami",1
"--- samkvæmt",1
"--- samviskubit",1
"--- sá",2
"--- segja",1
"--- sem",9
"--- semja",1
"--- síðan",1
"--- skammsýni",1
"--- skilja",1
"--- skulu",4
"--- slíkur",2
"--- spurning",1
"--- stefna",1
"--- sterkur",1
"--- sumur",1
"--- svo",7
"--- svona",1
"--- sýna",1
"--- til",3
"--- togari",1
"--- um",2
"--- undirstrika",1
"--- úr",2
"--- úrbót",1
"--- út",1
"--- vafalaust",1
"--- velta",1
"--- vera",11
"--- verkafólk",1
"--- við",1
"--- Vilhjálmur",1
"--- vilja",1
"--- vinstri",1
"--- vita",1
"--- vörn",1
"--- það",50
"--- þakka",1
"--- þangað",2
"--- þannig",2
"--- þar",4
"--- þarna",1
"--- þá",17
"--- þegar",6
"--- þessi",20
"--- þjóðnýting",1
"--- þrátt",1
"--- þríflokkur",1
"--- þróun",1
"--- þvert",1
"--- ævinlega",1
"---eða leita",1
"---engi sérréttindi",1
"---harður árás",1
"---málflutningur eins",1
"---tvö munu",1
"-- [",1
"-- afbrigði",1
"--afturhaldsstefna Framsfl.",1
"--atriði ,",1
"--þetta vera",1
"- -",38
"- -páll",1
"- Ágúst",1
"- Ásgeir",1
"- Bernharð",1
"- Bjarni",1
"- Björgvin",1
"- Björn",3
"- Eysteinn",1
"- Finnbogi",1
"- Gísli",2
"- Guðlaugur",1
"- Gunnar",3
"- Halldór",2
"- Hannibal",1
"- Hermann",1
"- Ingólfur",1
"- Jóhann",1
"- Jón",1
"- Jónas",1
"- Karl",1
"- Kjartan",1
"- Lúðvík",1
"- Matthías",1
"- Ólafur",2
"- Óskar",1
"- Sigurður",2
"- Skúli",1
"- Steindór",1
"- Vilhjálmur",1
"- Þorvaldur",1
"- Þórarinn",1
"-ástæði ,",1
"-páll Zóphóníasson",1
" -",39
" --",1
" ---",126
" (",85
" )",1
" .",2
" [",2
" „ur",3
" 1",4
" 1.",11
" 1.600",1
" 10",2
" 10.",1
" 11",1
" 12",1
" 13",1
" 13.4%",1
" 14",1
" 15",2
" 16",2
" 17",1
" 17.",1
" 18",2
" 19",2
" 1919",1
" 1931",2
" 1934",2
" 1942",4
" 1949",1
" 2",10
" 2.",8
" 20",2
" 20,24",1
" 21",1
" 23",1
" 25",1
" 25.",1
" 26",2
" 27",2
" 28",1
" 28.",1
" 29",2
" 3",9
" 3.",6
" 30",2
" 32",2
" 33",2
" 33.",1
" 35",2
" 36",1
" 38",1
" 39",1
" 4",6
" 4.",1
" 41",1
" 42",1
" 42.",1
" 43",1
" 43.",1
" 44",1
" 44.",1
" 46",1
" 47",1
" 48",1
" 49",1
" 5",3
" 5.",1
" 52",1
" 6",4
" 7",4
" 7.",1
" 75%",1
" 8",3
" 9",1
" 9.--11.",1
" A-",1
" a---sk",1
" a--húnv",4
" A--Húnv.",3
" a--sk",1
" a-húnv",27
" A-Húnv.",16
" a-sk",4
" A-Sk.",3
" a.-húnv",1
" A.m.k.",3
" að",71
" aðalatriði",3
" aðaláróður",1
" aðalblað",1
" aðalbreyting",1
" aðalefni",1
" aðalfjármálasérfræðingur",1
" aðalfyrirkomulag",1
" aðalmennur",8
" aðeins",4
" aðferð",3
" aðstaða",2
" af",54
" afbrigði",5
" afleiðing",3
" afnám",1
" afstaða",13
" aftur",4
" afturhaldssemi",1
" ak",2
" Ak.",2
" aldrei",2
" aldursforseti",7
" alls",2
" allsherjarnefnd",3
" alltaf",1
" allur",69
" almennt",1
" almennur",1
" alveg",3
" Alþ.",27
" Alþb.",5
" Alþfl.",13
" alþfl.-maður",1
" Alþingi",8
" Alþm.",1
" alþýða",1
" Alþýðubandalagið",1
" Alþýðublaðið",1
" amt",1
" amtafyrirkomulag",1
" amtsskipulag",1
" andstæðingur",2
" annar",36
" annars",9
" Atkvgr.",1
" ATKVGR.",35
" atkvæðafjöldi",1
" atkvæði",1
" atkvæðisréttur",2
" atvinna",1
" atvinnulíf",1
" atvinnuvegur",1
" auðheyrður",1
" auðlind",1
" auðmannastétt",2
" auðvald",1
" auðvitað",9
" auk",10
" á",161
" áburðarverksmiðja",1
" áðan",1
" áður",3
" ágreiningur",2
" Ágúst",3
" áhrif",2
" áhugi",1
" ákafi",1
" ákveða",2
" ákvæði",5
" ákvörðun",1
" álit",1
" án",1
" ár",13
" árlegur",1
" árn",4
" Árn.",4
" áróður",1
" Ásgeir",5
" ástand",1
" ástæða",10
" átök",1
" áætlun",1
" b.",1
" Baldvin",1
" banki",1
" bara",1
" barátta",4
" barð",35
" Barð.",6
" batnandi",1
" báðir",2
" bátafloti",1
" bátur",1
" beina",1
" benda",1
" Bernharð",11
" biskup",1
" Bjarni",3
" Björgvin",6
" Björn",18
" Björnsson",9
" blað",2
" blaðagrein",1
" Blaðið",1
" boða",1
" Borgarnes",1
" borgf",2
" Borgf.",3
" bókstafur",1
" bóndi",1
" Breyt.",2
" breyting",4
" bréf",2
" Brtt.",45
" búa",1
" búinn",1
" byggðastefna",3
" bygging",1
" bylting",1
" byltingaráform",1
" byrja",1
" bæði",2
" bæjarstjórn",1
" bæklingur",1
" bændafulltrúi",1
" c.",1
" d.",1
" Dal.",3
" Dalur",11
" Dani",1
" deild",3
" detta",2
" Dómsmrh.",5
" dómur",1
" Dr.",1
" dreifbýli",1
" drengilegur",1
